,unit,sensor,power factor
0,1,01,0.00148
1,1,02,0.00149
2,1,03,0.00227
3,1,04,0.00013
4,1,05,0.00064
5,1,06,0.00023
6,1,07,0.00028
7,1,08,0.00145
8,1,09,0.00156
9,1,10,0.0003
10,1,11,-0.00067
11,1,12,0.00011
12,1,13,0.00425
13,1,14,-0.00015
14,1,15,1e-05
15,1,16,0.00159
16,1,17,-0.00038
17,1,18,-0.00092
18,1,19,-0.00022
19,1,20,-0.00099
20,1,21,-0.00222
21,1,22,-0.00096
22,2,01,0.00934
23,2,02,-1e-05
24,2,03,0.00876
25,2,04,0.00041
26,2,05,0.00282
27,2,06,8e-05
28,2,07,0.00122
29,2,08,-4e-05
30,2,09,-4e-05
31,2,10,0.00587
32,2,11,0.00026
33,2,12,0.00019
34,2,13,0.00168
35,2,14,0.00758
36,2,15,0.01427
37,2,16,0.0008
38,2,17,0.00401
39,2,18,0.00198
40,2,19,0.0005
41,2,20,0.01799
42,2,21,-0.0001
43,2,22,-0.00071
44,3,01,0.00099
45,3,02,0.00096
46,3,03,0.00265
47,3,04,0.00071
48,3,05,0.01347
49,3,06,0.00181
50,3,07,0.0039
51,3,08,0.00068
52,3,09,0.0061
53,3,10,0.00354
54,3,11,0.00065
55,3,12,0.00064
56,3,13,0.00161
57,3,14,0.00295
58,3,15,0.0111
59,3,16,0.00108
60,3,17,0.00089
61,3,18,0.0004
62,3,19,0.00459
63,3,20,0.00048
64,3,21,0.00265
65,3,22,0.00514
66,4,01,0.00387
67,4,02,-0.00054
68,4,03,0.00121
69,4,04,0.00093
70,4,05,0.00422
71,4,06,0.00081
72,4,07,0.0012
73,4,08,0.00138
74,4,09,-0.00324
75,4,10,0.00843
76,4,11,0.00236
77,4,12,-0.00158
78,4,13,0.0023
79,4,14,-0.0003
80,4,15,0.01468
81,4,16,-0.00027
82,4,17,0.00081
83,4,18,0.00357
84,4,19,0.00351
85,4,20,0.00312
86,4,21,0.00451
87,4,22,0.00036
